"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma"
"       (2007 TF68)",1.407,0.2654,26.20,19.32,62.49,1.033,1.78,1.67,7329,0,167,,,22.66,,,-2.0e-13,1.4e-14,,
"       (2007 US12)",0.9061,0.5146,8.80,211.08,44.66,0.440,1.37,0.863,5148,0,98,,,22.13,,,-1.2e-13,3.5e-14,,
"       (2008 CE119)",1.208,0.1763,7.73,147.24,50.29,0.995,1.42,1.33,2916,0,64,,,25.70,,,-2.0e-13,5.6e-14,,
"       (2008 DB)",1.054,0.2329,4.22,141.44,274.63,0.808,1.30,1.08,4769,1,74,,,25.80,,,-1.0e-12,1.4e-13,,
"       (2008 WT62)",0.8843,0.3538,18.20,57.99,148.32,0.571,1.20,0.832,3645,1,43,,,23.10,,,-3.1e-13,6.1e-14,,
"       (2009 BD)",1.062,0.0515,1.27,253.24,316.82,1.007,1.12,1.09,885,1,180,,,28.10,5.6e-11,8.5e-12,-1.1e-12,8.4e-14,,
"       (2009 EM1)",2.523,0.5581,18.11,347.73,185.98,1.115,3.93,4.01,4387,0,104,,,22.90,,,-3.2e-13,4.8e-14,,
"       (2009 OS5)",1.148,0.0993,1.71,144.36,122.77,1.034,1.26,1.23,4071,0,113,,,24.40,,,-3.3e-13,3.6e-14,,
"       (2009 WB105)",0.8255,0.2525,38.40,242.59,347.47,0.617,1.03,0.75,4392,0,158,,,23.48,,,1.4e-13,9.2e-15,,
"       (2010 FX9)",1.131,0.3669,3.78,10.11,75.09,0.716,1.55,1.2,4390,0,100,,,24.06,,,-2.6e-13,4.9e-14,,
"       (2010 GD35)",0.7642,0.4814,7.81,25.02,13.90,0.396,1.13,0.668,4380,1,68,,,24.62,,,1.8e-13,1.4e-14,,
"       (2010 VK139)",0.7799,0.2822,26.96,233.35,8.30,0.560,1.00,0.689,4022,1,91,1,0,23.71,,,-9.8e-14,4.1e-14,,
"       (2010 XX72)",0.9033,0.2835,4.47,278.95,334.48,0.647,1.16,0.859,4354,0,100,,,22.10,,,-1.3e-13,3.2e-14,,
"       (2011 CL50)",0.883,0.1463,0.19,354.60,308.80,0.754,1.01,0.83,3628,1,131,,,27.30,,,4.4e-12,3.5e-13,,
"       (2011 EP51)",0.8287,0.3077,3.43,159.52,170.16,0.574,1.08,0.754,3240,0,318,,,25.20,,,-3.3e-13,1.9e-14,,
"       (2011 MD)",1.056,0.0371,2.45,271.58,6.07,1.017,1.10,1.09,967,2,528,,,28.00,7.4e-11,2.5e-11,-8.9e-13,3.8e-12,,
"       (2011 PU1)",1.304,0.2461,4.36,301.82,326.74,0.983,1.63,1.49,2090,0,110,,,25.60,,,-3.0e-13,5.0e-14,,
"       (2011 WN15)",1.217,0.8579,33.43,75.55,218.57,0.173,2.26,1.34,2981,0,283,6,2,19.60,,,2.0e-14,8.6e-15,,
"       (2012 BA35)",1.071,0.1159,5.81,145.07,234.30,0.947,1.19,1.11,3932,0,129,,,23.75,,,-1.5e-13,4.8e-14,,
"       (2012 BB124)",1.155,0.2110,15.79,137.65,122.80,0.911,1.40,1.24,16868,0,215,,,21.11,,,6.8e-14,7.0e-15,,
"       (2012 HN13)",1.409,0.3081,4.07,183.52,97.23,0.975,1.84,1.67,3810,0,179,,,22.93,,,-9.8e-14,2.2e-14,,
"       (2012 HL31)",0.8877,0.3740,19.81,37.49,17.52,0.556,1.22,0.836,3652,0,89,,,22.44,,,-1.3e-13,2.0e-14,,
"       (2012 LA)",1.04,0.0216,3.16,234.09,79.43,1.018,1.06,1.06,179,2,103,,,27.60,6.7e-11,1.2e-11,1.9e-12,7.9e-12,,
"       (2012 PG6)",0.8373,0.6160,6.54,311.95,169.86,0.322,1.35,0.766,7342,0,397,2,2,20.25,,,6.9e-14,9.8e-15,,
"       (2012 TC4)",1.621,0.4038,0.53,19.73,26.51,0.966,2.27,2.06,1897,0,805,7,2,26.71,2.4e-11,8.0e-12,-2.7e-13,6.5e-14,,
"       (2012 UU136)",1.16,0.2119,35.59,36.09,227.73,0.914,1.41,1.25,7313,0,87,,,21.28,,,9.9e-14,1.5e-14,,
"       (2012 UK171)",0.8598,0.2217,1.32,250.42,357.92,0.669,1.05,0.797,3002,0,275,,,24.44,,,-4.8e-14,6.7e-15,,
"       (2013 BA74)",1.754,0.4449,5.22,310.58,203.42,0.974,2.54,2.32,2559,0,99,,,25.40,,,1.5e-12,3.1e-13,,
"       (2013 GZ7)",1.406,0.1917,5.28,21.80,165.53,1.136,1.68,1.67,5503,0,64,,,23.90,,,-7.3e-14,1.8e-14,,
"       (2014 QH33)",1.084,0.1846,2.83,335.95,264.69,0.884,1.28,1.13,6207,0,124,,,24.44,,,-1.8e-13,4.7e-14,,
"       (2014 QL390)",2.085,0.4025,3.59,288.34,34.56,1.246,2.92,3.01,5484,0,109,,,22.10,,,-1.5e-13,4.7e-14,,
"       (2014 RQ17)",1.767,0.4426,3.66,0.89,42.91,0.985,2.55,2.35,24907,0,150,4,2,22.30,,,-4.2e-14,3.7e-15,,
"       (2015 EG)",0.8626,0.3563,2.49,167.64,223.54,0.555,1.17,0.801,2899,0,151,3,2,25.60,,,-2.0e-13,2.0e-14,,
"       (2015 KJ19)",2.08,0.7453,2.55,106.04,30.05,0.530,3.63,3,2215,0,204,,,22.50,,,2.6e-13,4.6e-14,,
"       (2015 LA2)",0.8831,0.2807,7.72,85.38,3.66,0.635,1.13,0.83,3660,1,94,,,23.00,,,-1.2e-13,2.3e-14,,
"       (2015 TC25)",1.028,0.1162,3.74,18.86,80.56,0.909,1.15,1.04,562,2,48,0,2,29.34,1.6e-10,2.1e-11,-5.3e-12,2.8e-12,,
"       (2015 XC352)",1.015,0.1457,4.48,98.58,82.93,0.867,1.16,1.02,1307,1,84,1,1,25.70,,,-7.7e-13,1.3e-13,,
