object_name,obs_filename,download_files
2001 ME1,c4d_220512_074927_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/6ddc237fccc00393d2c2e9040a34cafa
2001 ME1,c4d_220512_074927_ooi_r_yse.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/5c0b07bc11a1a59647c4595ed31dc09b
2001 ME1,c4d_220512_082235_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/792b34a66720773384bb264930c9d9a1
2001 ME1,c4d_220512_082235_ooi_i_yse.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/053975356e30fd9e1ae56da1e2f272a9
2001 ME1,c4d_220608_021540_ooi_g_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/8bea9fbd448b0df36243d172206a8481
2001 ME1,c4d_220608_021625_ooi_g_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/88935b6cfd6c35599de308bce6622e14
2001 ME1,c4d_220608_021707_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/7f58ffc8c65b52c6c51ab40ee2371fcf
2001 ME1,c4d_220608_021749_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/8e475fb7a9af1c8e8cef0ab3e935a6eb
2001 ME1,c4d_220608_021831_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/3ee6434263b77cc7fff6a0de0f73b288
2001 ME1,c4d_220608_021913_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/053dfc673c75abf3128e284f42f44808
2001 ME1,c4d_220608_021955_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/997c60558e04011c86bcc4aef6ad1cbd
2001 ME1,c4d_220609_060542_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/7457b617644ddabb9c4caab9bd34c371
2001 ME1,c4d_220609_060624_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/8409c259123f43d0fc93e2fb9bcc60f2
2001 ME1,c4d_220609_060707_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/c0fce91d102b02cd0710ffa201a042a0
2001 ME1,c4d_220613_060647_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/96c98f47a45692faba3ca284692b3eba
2001 ME1,c4d_220613_060731_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/d41f245f0c9d66958275ecd7a7d8ea72
2001 ME1,c4d_220613_060814_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/732006dd9b00b269f84e5263fd5768e8
2001 ME1,c4d_220614_001422_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/f3a9fdefe7cdd96a43f2e35a8b188184
2001 ME1,c4d_220614_001504_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/f6ffe5e4bdedc27c1eecc8c74a094100
2001 ME1,c4d_220614_001547_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/d7641514799f21f0417fc51c29c04d50
2005 UY6,934738o.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/934738o.fits.fz
2005 UY6,934750o.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/934750o.fits.fz
2005 UY6,934762o.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/934762o.fits.fz
2005 UY6,1729969p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1729969p.fits.fz
2005 UY6,1729970p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1729970p.fits.fz
2005 UY6,1729971p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1729971p.fits.fz
2005 UY6,c4d_150619_105142_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/a6df4c67cb27a974e9d123befbc6d47f
2005 UY6,c4d_150619_105142_ooi_i_ls11.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/628faf93744badaba7f54997964df24f
2005 UY6,c4d_150619_105310_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/0a3def53e6dc18074b83d294d95678ea
2005 UY6,c4d_150619_105310_ooi_i_ls11.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/cb2213e76021b283aaaf8445eb3f89a4
2005 UY6,c4d_150620_100101_ooi_i_v2.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/5ee03fab45fd7295486af08d4a620753
2005 UY6,c4d_150620_100101_ooi_i_ls11.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/0c1dce73aad72b530224d1ea5802b33b
2005 UY6,c4d_150620_102715_ooi_i_v2.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/d42508a5e7306253d262bc7eb24e1149
2005 UY6,c4d_150620_102715_ooi_i_ls11.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/361d9f55e7c70016de00c4768dff4030
2005 UY6,c4d_150620_102852_ooi_i_v2.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/49b2b3d57cd608f25d8033a03ee42f8a
2005 UY6,c4d_150620_102852_ooi_i_ls11.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/52c0ac71f2b9fcc247c8028149125f8f
2005 UY6,c4d_150626_091928_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/1b613478eaa35ae9279214b8d49a449d
2005 UY6,c4d_150626_091928_ooi_i_ls10.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/fd00b3b120e1ad80ce9b2a57b579d814
2005 UY6,c4d_150626_101043_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/0d7ec52a9f55aa13fac194e37cb89ea1
2005 UY6,c4d_150626_101043_ooi_i_ls10.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/14ed53651233189cfdcfe5c93d065bca
2005 UY6,c4d_151029_012826_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/c3ee3688c4c9190e686a3b76078caaa5
2005 UY6,c4d_151029_012826_ooi_z_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/42c8967a650b84212822eb9819aadfb9
2005 UY6,c4d_151029_014317_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/e9e8d4788146bbc042e58f5728db32ea
2005 UY6,c4d_151029_014317_ooi_z_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/5d81995f63fe0d087689299915b89b53
2005 UY6,c4d_170725_061733_ooi_g_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/38aa2e7259d4821d37bf5b6f865dbf42
2005 UY6,c4d_170725_061733_ooi_g_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/07d9d179c1adcca1085d1cf8a8cfd066
2005 UY6,c4d_170921_005324_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/454d27d8fe8b473d03ff583975c8da35
2005 UY6,c4d_170921_005324_ooi_r_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/0264fccc69a81e522ac5ab8a889084b4
2005 UY6,c4d_170922_005130_ooi_g_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/8576e94aabd537feecbe3f0c21b4109f
2005 UY6,c4d_170922_005130_ooi_g_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/21b62d28c36db343e570a90ca0c5a8f8
2005 UY6,2301271p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/2301271p.fits.fz
2005 UY6,2301272p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/2301272p.fits.fz
2005 UY6,2301554p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/2301554p.fits.fz
2005 UY6,2301560p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/2301560p.fits.fz
2005 UY6,2301838p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/2301838p.fits.fz
2005 UY6,c4d_180916_033500_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/c4bf658a09211cc582ae0213bff781c1
